Sample_ID,DBSCAN_Cluster,eps,min_samples
020724C01,0,20.0,2
051623D1,0,20.0,2
061623C10,1,20.0,2
061623C13,-1,20.0,2
061623C14,-1,20.0,2
061623D05,1,20.0,2
061623D09,-1,20.0,2
070823B01,-1,20.0,2
070823B03,2,20.0,2
070823B05,2,20.0,2
070823B06,2,20.0,2
070823B07,2,20.0,2
070823C08,-1,20.0,2
070823C13,-1,20.0,2
080823B02,-1,20.0,2
080823B06,-1,20.0,2
080823D08,2,20.0,2
080823D12,-1,20.0,2
080823D13,-1,20.0,2
102723B06,-1,20.0,2
102723D07,-1,20.0,2
110323B1,-1,20.0,2
111423C1,2,20.0,2
111423C2,2,20.0,2
111623BN11,2,20.0,2
111623BN14,-1,20.0,2
111623CN02,2,20.0,2
111623CN05,3,20.0,2
111623DN06,-1,20.0,2
111623DN09,-1,20.0,2
111623DN10,3,20.0,2
112823BN05,2,20.0,2
112823CN02,2,20.0,2
112823DN08,2,20.0,2
120123C04,-1,20.0,2
121923BN07,-1,20.0,2
122923C09,-1,20.0,2
